"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"TM.TAX.MRCH.BC.ZS","Cobertura obligatoria, todos los productos (%)","Cobertura de productos se refiere al porcentaje de líneas de productos con una tasa consolidada de común acuerdo. Las tasas consolidadas derivan de negociaciones comerciales que se incorporan a la lista de concesiones del país y por ello son exigibles.","World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",
"TM.TAX.MANF.WM.FN.ZS","Tasa arancelaria, nación más favorecida, promedio ponderado, productos manufacturados (%)","El arancel de las naciones más favorecidas de media ponderada es el promedio de las tasas de la nación más favorecida por la proporción de importaciones de productos que corresponde a cada país asociado. Los datos se clasifican usando el Sistema Armonizado de comercio a nivel de seis u ocho dígitos. Los datos de líneas arancelarias se igualaron con los códigos de la Clasificación Uniforme para el Comercio Internacional (CUCI), revisión 3, para definir los grupos de productos básicos y ponderaciones de importaciones. Las ponderaciones de las importaciones se calcularon usando la base de datos sobre el comercio de mercaderías (Comtrade) de la División de Estadística de las Naciones Unidas. Los productos fabricados son productos básicos que se clasifican en la SITC revisión 3, secciones 5 a 8 sin incluir la categoría 68.","Cálculos del personal del Banco Mundial usando el sistema World Integrated Trade Solution, la base de datos del Sistema de Análisis e Información Comercial (TRAINS, por sus siglas en inglés) de la Conferencia de Naciones Unidas sobre Comercio y Desarrollo y la Base de datos integrados (IDB) y la Base de datos de la lista de aranceles consolidados (CTS, por sus siglas en inglés) de la Organización Mundial de Comercio.",
"TM.TAX.MANF.WM.AR.ZS","Tasa arancelaria, aplicada, promedio ponderado, productos manufacturados (%)","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Divisions Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.","Estimaciones del personal del Banco Mundial a través del sistema Solución Comercial Integrada Mundial, en función de los datos de la base de datos del Sistema de Análisis e Información Comerciales (TRAINS) de la Conferencia de las Naciones Unidas sobre Comercio y Desarrollo y la Base de Datos Integrada (BDI) y la base de datos de las Listas Arancelarias Refundidas (LAR) de la OMS.",
"TM.TAX.MANF.SR.ZS","Participación de líneas arancelarias con tasas específicas, productos manufacturados (%)","La proporción de líneas arancelarias con tasas específicas es la proporción de líneas en la nomenclatura arancelaria que se establecen por unidad o que combinan las tasas según valor y por unidad. Muestra hasta qué punto los países usan aranceles basados en cantidades físicas u otras medidas distintas al valor. Los productos fabricados son productos básicos que se clasifican en la SITC revisión 3, secciones 5 a 8 sin incluir la categoría 68.","Cálculos del personal del Banco Mundial usando el sistema World Integrated Trade Solution, la base de datos del Sistema de Análisis e Información Comercial (TRAINS, por sus siglas en inglés) de la Conferencia de Naciones Unidas sobre Comercio y Desarrollo. ",
"TM.TAX.MANF.SM.FN.ZS","Tasa arancelaria, nación más favorecida, media simple, productos manufacturados (%)","La tasa arancelaria de la nación más favorecida de media simple es el promedio sin ponderar de las tasas de la nación más favorecida para todos los productos sujetos a aranceles calculados para todos los bienes transables. Los datos se clasifican usando el Sistema Armonizado de comercio a nivel de seis u ocho dígitos. Los datos de líneas arancelarias se igualaron con los códigos de la Clasificación Uniforme para el Comercio Internacional (CUCI), revisión 3, para definir los grupos de productos básicos. Los productos fabricados son productos básicos que se clasifican en la SITC revisión 3, secciones 5 a 8 sin incluir la categoría 68.","Cálculos del personal del Banco Mundial usando el sistema World Integrated Trade Solution, la base de datos del Sistema de Análisis e Información Comercial (TRAINS, por sus siglas en inglés) de la Conferencia de Naciones Unidas sobre Comercio y Desarrollo y la Base de datos integrados (IDB) y la Base de datos de la lista de aranceles consolidados (CTS, por sus siglas en inglés) de la Organización Mundial de Comercio.",
"TM.TAX.MANF.SM.AR.ZS","Tasa arancelaria, aplicada, media simple, productos manufacturados (%)","El arancel aplicado de media simple es el promedio sin ponderar de las tasas efectivamente aplicadas para todos los productos sujetos a aranceles, calculados para todos los bienes transados. Los datos se clasifican usando el Sistema Armonizado de comercio a nivel de seis u ocho dígitos. Los datos de líneas arancelarias se igualaron con los códigos de la Clasificación Uniforme para el Comercio Internacional (CUCI), revisión 3, para definir los grupos de productos básicos. Las tasas arancelarias efectivamente aplicadas a nivel de producto de seis y ocho dígitos se promedian para los productos en cada grupo de productos básicos. Cuando no se dispone de la tasa efectivamente aplicada, se utiliza en su lugar la tasa de la nación más favorecida. En la medida de lo posible, las tasas específicas se convirtieron a sus equivalentes según valor y se incluyeron en el cálculo de los aranceles de media simple. Los productos fabricados son productos básicos que se clasifican en la SITC revisión 3, secciones 5 a 8 sin incluir la categoría 68.","Cálculos del personal del Banco Mundial usando el sistema World Integrated Trade Solution, la base de datos del Sistema de Análisis e Información Comercial (TRAINS, por sus siglas en inglés) de la Conferencia de Naciones Unidas sobre Comercio y Desarrollo y la Base de datos integrados (IDB) y la Base de datos de la lista de aranceles consolidados (CTS, por sus siglas en inglés) de la Organización Mundial de Comercio.",
"TM.TAX.MANF.IP.ZS","Participación de líneas arancelarias con máximos internacionales, productos manufacturados (%)","La proporción de líneas arancelarias con máximos internacionales es la proporción de líneas en la nomenclatura arancelaria con tasas arancelarias por sobre el 15%. Entrega un indicio de cuán selectivamente se aplican los aranceles. Los productos fabricados son productos básicos que se clasifican en la SITC revisión 3, secciones 5 a 8 sin incluir la categoría 68.","Cálculos del personal del Banco Mundial usando el sistema World Integrated Trade Solution, la base de datos del Sistema de Análisis e Información Comercial (TRAINS, por sus siglas en inglés) de la Conferencia de Naciones Unidas sobre Comercio y Desarrollo. ",
"TM.TAX.MANF.BR.ZS","Tasa consolidada, media simple, productos manufacturados (%)","La tasa consolidada de media simple es el promedio sin ponderar de todas las líneas en la nomenclatura arancelaria para las que se han fijado tasas consolidadas. Las tasas consolidadas derivan de negociaciones comerciales que se incorporan a la lista de concesiones del país y por ello son exigibles. Los productos fabricados son productos básicos que se clasifican en la SITC revisión 3, secciones 5 a 8 sin incluir la categoría 68.","World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",
"TM.TAX.MANF.BC.ZS","Cobertura obligatoria, productos manufacturados (%)","Cobertura de productos se refiere al porcentaje de líneas de productos con una tasa consolidada de común acuerdo. Las tasas consolidadas derivan de negociaciones comerciales que se incorporan a la lista de concesiones del país y por ello son exigibles.","World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization.",
"TM.QTY.MRCH.XD.WD","Índice del volumen de las importaciones (2000 = 100)","Los índices de volumen de importaciones se derivan de las series de índices de volumen de la UNCTAD y corresponden a la relación de los índices de valor de importación con respecto a los correspondientes índices de valor por unidad. Los índices de valor unitario se basan en datos entregados por los países que demuestran congruencia según los controles de calidad de UNCTAD, complementados con cálculos de UNCTAD que usan como ponderaciones los valores comerciales del año anterior en el nivel de tres dígitos de la Clasificación Uniforme para el Comercio Internacional. Para mejorar la cobertura de los datos, en especial para los últimos períodos, UNCTAD crea un conjunto de índices de precios promedio en la clasificación de productos de tres dígitos de la revisión 3 de la Clasificación Uniforme para el Comercio Internacional usando la Estadística de precios de productos básicos de UNCTAD, fuentes nacionales e internacionales y cálculos de la Secretaría de la UNCTAD y calcula los índices de valor unitario a nivel del país usando como ponderaciones los valores comerciales del año en curso. Para economías para las que la UNCTAD no publica datos, se emplean los índices de volumen de importaciones de las Estadísticas financieras internacionales del FMI (líneas 73).","Conferencia de las Naciones Unidas sobre el Comercio y el Desarrollo, Manual de Estadística y archivos de datos y Fondo Monetario Internacional, Estadísticas Financieras Internacionales.",
"TG.VAL.TOTL.GD.ZS","Comercio de mercaderías (% del PIB)","El comercio de mercaderías como proporción del PIB es la suma de las exportaciones e importaciones de mercaderías dividida por el valor del PIB, todo en dólares de los Estados Unidos, a precios corrientes.","Organización Mundial de Comercio y estimaciones del PIB del Banco Mundial.",
"ST.INT.XPND.MP.ZS","Turismo internacional, gastos (% del total de importaciones)","El gasto de turismo internacional es el gasto efectuado en otros países por los visitantes internacionales salientes, incluidos los pagos a transportistas extranjeros por el transporte internacional. Este gasto puede incluir los gastos incurridos por los residentes que viajan al exterior en calidad de visitantes por un día, excepto en los casos donde estos son tan importantes que justifican una clasificación por separado. Para algunos países, no incluyen los gastos relativos a los artículos de transporte de pasajeros. Su participación en las importaciones se calcula como una proporción de las importaciones de bienes y servicios, que comprenden todas aquellas transacciones entre los residentes de un país y el resto del mundo que impliquen una transferencia de la propiedad de los no residentes a los residentes de mercaderías general, bienes enviados para procesamiento y reparaciones, oro no monetario y servicios.","Organización Mundial del Turismo, Anuario de estadísticas de turismo, Compendio de estadísticas de turismo y archivos de datos, y estimaciones de importaciones del FMI y el Banco Mundial.",
