Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count,log_Critic_count,log_Critic_Score,log_Critic_count_is_bad,log_Critic_Score_is_bad,User_Count_is_bad,Small_Publisher,Medium_Publisher,Big_Publisher
Wii,2006.0,Sports,41.36,28.96,3.77,8.45,82.53,322.0,3.9318256327243257,4.330733340286331,0,0,0,0,0,0
NES,1985.0,Platform,29.08,3.58,6.81,0.77,40.24,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2008.0,Racing,15.68,12.76,3.79,3.29,35.52,709.0,4.290459441148391,4.406719247264253,0,0,0,0,0,0
Wii,2009.0,Sports,15.61,10.93,3.28,2.95,32.77,192.0,4.290459441148391,4.382026634673881,0,0,0,0,0,0
GB,1996.0,Role-Playing,11.27,8.89,10.22,1.0,31.37,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GB,1989.0,Puzzle,23.2,2.26,4.22,0.58,30.26,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2006.0,Platform,11.28,9.14,6.5,2.88,29.8,431.0,4.174387269895637,4.48863636973214,0,0,0,0,0,0
Wii,2006.0,Misc,13.96,9.18,2.93,2.84,28.92,129.0,3.713572066704308,4.060443010546419,0,0,0,0,0,0
Wii,2009.0,Platform,14.44,6.94,4.7,2.24,28.32,594.0,4.382026634673881,4.465908118654584,0,0,0,0,0,0
NES,1984.0,Shooter,26.93,0.63,0.28,0.47,28.31,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2005.0,Simulation,9.05,10.95,1.93,2.74,24.67,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2005.0,Racing,9.71,7.47,4.13,1.9,23.21,464.0,4.1588830833596715,4.51085950651685,0,0,0,0,0,0
GB,1999.0,Role-Playing,9.0,6.18,7.2,0.71,23.1,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2007.0,Sports,8.92,8.03,3.6,2.15,22.7,146.0,4.143134726391533,4.382026634673881,0,0,0,0,0,0
X360,2010.0,Misc,15.0,4.89,0.24,1.69,21.81,106.0,3.8066624897703196,4.110873864173311,0,0,0,0,0,1
Wii,2009.0,Sports,9.01,8.49,2.53,1.77,21.79,52.0,3.4965075614664802,4.382026634673881,0,0,0,0,0,0
PS3,2013.0,Action,7.02,9.09,0.98,3.96,21.04,3994.0,3.912023005428146,4.574710978503383,0,0,0,0,0,0
PS2,2004.0,Action,9.43,0.4,0.41,10.57,20.81,1588.0,4.382026634673881,4.553876891600541,0,0,0,0,0,0
SNES,1990.0,Platform,12.78,3.75,3.54,0.55,20.61,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2005.0,Misc,4.74,9.2,4.16,2.04,20.15,50.0,4.060443010546419,4.343805421853684,0,0,0,0,0,0
